code_bar,name,pvp
7795371459443,ULTRAFLEX LATA X 300 G,8682.12
7509552843620,DERMO EXPERT REV HIALU SERUM,7313
3337875543248,VICHY MINERAL 89 X 50,13750
3337875583626,HYALU B5 SERUM X30ML,19800
7795323002420,NUTRILON PROFU 1 LATA X800GR,7831
7795323773894,NUTRILON PROFU 1 POCH X1.2KG,10278
7795323002437,NUTRILON PROFU 2 LATA X800GR,7444
7795323002444,NUTRILON PROFU 3 LATA X800GR,6541
7795323773900,NUTRILON PROFU 3 POCH X1.2KG,8591
7891010882983,NEUTROGENA HYDRO BOOST W/GEL,4279.21
4005900140906,EUCERIN SOL 50 T/SECO GELX 50,7731.9
7792981010026,ENA CREATINA MONO ENV X 300G,12900
7792981062018,ENA WHEY PR TRUE CHOCO X1000G,10700
7792981062025,ENA WHEY PR TRUE COOKI X1000G,10700
7792981060021,ENA WHEY PR TRUE VAINI X1000G,10700
7793742003431,DERMAGLOS SOLAR F50 EMUL X250,4877.28
7795371459559,BLUE-VIT B12 CM MAST ANANAX20,2105
7795371459504,ULTRAFLEX MAGNESIO LATA X 420,9820.44
4580193651440,CITIZEN TEN DIGITAL AUT GDE,21780
4580193650870,CITIZEN TENSIOM DIG MUÑ CH617,15620
4580193651389,CITIZEN TERMOMETRO CLINIC DIG,1570
7798028884230,SILFAB ALMTE CERVICAL,12390
7798028884223,SILFAB ALMTE LARGE,12890
7798028882922,SILFAB BALANZA ELECT BC304,10690
7798028883073,SILFAB BALANZA ELECT BE211,8360
7798028881895,SILFAB BALANZA MECANICA BM100,6990
7798028882649,SILFAB MANTA 1 PZA POLI 3 TEM,16370
7798028880386,SILFAB NEBU A PISTON PIU VENT,21650
7798028882687,SILFAB NEBU A PISTON PIXEL,21650
7798028882168,SILFAB NEBU ULTRA SF POTENZA,28420
7798028883783,SILFAB OXIM PULSO DE DEDO,9260
4580193651440,CITIZEN TEN DIGITAL AUT GDE,25050
4580193650870,CITIZEN TENSIOM DIG MUÑ CH617,17970
4580193651389,CITIZEN TERMOMETRO CLINIC DIG,1810
7798028884230,SILFAB ALMTE CERVICAL,14250
7798028884223,SILFAB ALMTE LARGE,14820
7798028882922,SILFAB BALANZA ELECT BC304,12290
7798028883073,SILFAB BALANZA ELECT BE211,9620
7798028881895,SILFAB BALANZA MECANICA BM100,8040
7798028882649,SILFAB MANTA 1 PZA POLI 3 TEM,18820
7798028880386,SILFAB NEBU A PISTON PIU VENT,24900
7798028882687,SILFAB NEBU A PISTON PIXEL,24900
7798028882168,SILFAB NEBU ULTRA SF POTENZA,32690
7798028883783,SILFAB OXIM PULSO DE DEDO,9730
8411061636268,BLUE SEDUCTION EDTV X100,10475
8411061722756,GOLDEN SECRET EDT VAP X100,11715
8411061813973,KING OF SEDUCT ABS X100,11715
8411061971857,THE ICON MASCULINO EDT X100,13310
3349666007921,ONE MILLION EDT VAP X100,48420
3337875550628,ANTHELIOS 50 PED LECHE X250,11070
3337875545891,ANTHELIOS 50 T SECO COLOR X50,8390
3337875546430,ANTHELIOS 50 T SECO X 50,8390
3337872413018,CICAPLAST BAUME B5 X100,5625
3337875598071,EFFACLAR DUO + APF,12675
3337872411991,EFFACLAR GEL X400ML,14470
3337872413025,EFFACLAR MAT X 40ML,11870
3337875722827,EFFACLAR SERUM X 30ML,18855
3337875613668,HYALU B5 OJOS X15ML,15535
3337875660570,PURE VITAMIN C SERUM 30ML,24210
3337875578486,TOLERIANE SENSITIVE,8795
7795368547412,DIAR CAPS BLANDAS X 30,5700
7798051852220,VALCATIL MAX CAPS X120,16352
7798051851575,VALCATIL MAX CAPS X 30,5224
7795323003434,NUTRILON A.R.2 LATA X800G,26771
7795323772804,NUTRILON A.R. LATA X400G,14842
8712400801089,NUTRILON PEPTI JR HE LATX400G,33391
7795323774693,NUTRILON PROFU 1 BRIK24X200ML,11736
7795323774709,NUTRILON PROFU 2 BRIK24X200ML,11172
7795323774570,NUTRILON PROFU 2 BRIK X200ML,470
7795323774716,NUTRILON PROFU 3 BRIK24X200ML,10644
7795323774587,NUTRILON PROFU 3 BRIK X200ML,443.5
7795323002451,NUTRILON PROFU 4 LATA X800GR,6149
7795323773856,NUTRILON PROFU 4 POCH X1.2KG,8611
7795323773672,NUTRILON S/LACTOSA (NF)X350G,17241
7795323774839,VITAL 1 NF LATA X 800GR,5835
7795323774846,VITAL 2 NF LATA X 800GR,5548
7891000099551,NIDINA 1 ENV X 800G,4596.92
7891000099537,NIDINA 2 ENV X 800G,3665.1
7798176009752,SANCOR BEBE 1 NUT.COMP X800 G,6277.68
7798176000674,SANCOR BEBE 2 NC 30U PACX 200,11685.3
7798176009776,SANCOR BEBE 2 NUT.COMP X800 G,5692
7798176009875,SANCOR BEBE 3 NC 30U PACX 200,11056.8
7798176009790,SANCOR BEBE 3 NUT.COMP X800 G,5241.53
7790387015324,YERBA MAÑANITA X 500G,1150
38000845246,PRINGLES ORIGINAL X67G,1160
8429420190986,FOTO ISDIN 50 AGE REP 5 STARS,11900
8429420154186,FOTO ISDIN 50 FUSION WAT MED,9450
7896015520045,SENSODYNE DENT BLAN E/FREX 90,900
7791984999536,102 MUJER CAPS X 30,3573.8
7791984000485,102 PLUS COMP X 30,2922.95
7791984999994,CURFLEX COMP X 30,4764.52
7791984001055,CURFLEX PLUS COMP X 30,5152.81
7791984000010,MEGACISTIN COMP X 60,5584.45
7791984000720,MEGACISTIN MAX COMP X 30,5887.6
7791984000331,MEGACISTIN SH CAIDA CAB X 200,3722.58
7791984999925,METABOLIC CLA CAPS BLANDASX60,6268.95
7791984000881,VITENE CELLULI CAPS X 30,5823.53
74312042904,NATURES BOUNTY CAL-MAG-ZIX100,4533.38
74312168871,NATURES BOUNTY FISH 1200 X 60,6266.08
7798173570026,ECOHAIR SH ANTICAIDA X200ML,4437.14
3466320012838,CETAPHIL HUMECT CR X 453GR,7990
7798008190771,SATIAL CARB CONTROL COMP X 60,6945
7798008191044,SATIAL FOOD MONOCAPS X 12,3025
7798008190979,SERRAPEP CAPS GASTRORRES X 30,4850
3605532612836,LA VIE EST BELLE EDP X 75,58815
4005900324016,EUCERIN ELAST FILLER DIA X 50,16389.45
7319470066786,EUCERIN PIGMENT STOP BOOS30ML,20044.86
7798181640674,NUTRIBABY 2 LATA X 800 G,4862.7
7792981010071,ENA CREATINA MICR FRUI X 300G,12900
7792981058011,ENA GLUTAMINA PVO X 150G,4700
7792981062049,ENA WHEY PROTEIN BANAN X1000G,10335
7792981062032,ENA WHEY PR TRUE STRAW X1000G,10700
7792981060052,ENA WHEY X PRO VAINIL X1000G,13400
7790808035177,ASPEN NEB ROTAT BRCN116 PISTO,25362.67
7798127370924,CHER EDP DIECIOCHO X100,10290
7791600311131,PAULA ALEGRIA EDT VAP X100,7670
7791600045418,PAULA EDT VAP X100,7670
75486021689,HAWAIIAN TROP SHEER T F30X240,3260.56
4005808319695,NIVEA BODY NUT P/EXT SECAX400,1285
7790375245054,BAGOVIT A CLASS CR X 200 G,4046.25
7793742004391,AVENO EMULS X 400 ML,6681.96
7793742004384,AVENO JAB X 120 G,2232.36
7793742004360,AVENO SHAMP X 250 ML,4096.44
7793742007378,DERMAGLOS C HID INMEDIA X300,5236.92
7793742007774,DERMAGLOS C HID PROF CR X200,4755.24
7793742007569,DERMAGLOS C HID PROF EM X300,4388.04
7793742007675,DERMAGLOS C REGENE INT EMX300,5236.92
7793742007118,DERMAGLOS F SERUM AH X 30,5449.68
7793742003509,DERMAGLOS SOLAR F30 EMUL X250,4519.8
7793742032615,DERMAGLOS SOLAR F30 EMUL X380,4807.08
7793742003516,DERMAGLOS SOLAR F40 EMUL X250,4712.04
7793742043512,DERMAGLOS SOLAR F40 EMUL X380,5010.12
7793742003738,DERMAGLOS SOLAR F50 NI SPX170,5648.4
7793742004759,DERMAGLOS SOLAR F50 S/COLX 50,4784.4
7793742003264,DERMAGLOS SOLAR F65 CR X 90,4624.56
7793742003707,DERMAGLOS SOLAR F80 CR X 90,5294.16
73796801182,OMRON NEBULIZADOR COMP NEC801,26099.25
73796612320,OMRON TENSIOM MUÑECA 6123,20032.9
8710428010742,ENSURE ADVANCE CHOC PVO X400G,6352.81
8710428011473,ENSURE ADVANCE VAIN BOTX220ML,1386.38
8427030007403,ENSURE ADVANCE VAIN PVO X850G,12495.07
8710428017994,ENSURE PLUS FRUTILLA X220ML,1502
6922244700710,ENSURE VAINI PVO X1200G,14742.42
6922244700703,ENSURE VAINI PVO X 800G,10994.24
8710428013637,GLUCERNA TRIP CARE LATA X850G,13484.68
7795371459603,ULTRAFLEX HMB 3000 LATA X420G,9284
7798028884216,SILFAB ALMTE SMALL,11690
7798028883493,SILFAB BY527 SECADOR CURVE,8630
7798028883523,SILFAB BY612 PLANCHA HUM/SECO,10710
7798028882656,SILFAB MANTA 2 PZA POLI 3 TEM,29360
7798028881697,SILFAB NEBU A PISTON NEO VENT,25470
7798028884216,SILFAB ALMTE SMALL,13450
7798028883493,SILFAB BY527 SECADOR CURVE,9930
7798028883523,SILFAB BY612 PLANCHA HUM/SECO,12310
7798028882656,SILFAB MANTA 2 PZA POLI 3 TEM,33760
7798028881697,SILFAB NEBU A PISTON NEO VENT,29290
8411061737835,BLUE SEDUCTION EDTV X200,15552
8411061791691,GOLDEN SECRET EDT EDTX200,17280
8411061860410,HER SECRET TEMPT EDT X 80,10780
8411061999332,THE ICON RE22 EDP X100,14570
8411061860502,THE SECRET TEMPT EDT X100,11715
8411061723760,212 VIP MEN EDT NS X100,45580
8411061607152,CH EDT VAP X100,44110
8411061026342,CH GOOD GIRL X 80,60435
8411061665022,CH MEN EDT VAP X100,38635
3349668515660,PACO RABANNE INVICTUS X100,48420
3349668576111,XS BLACK F/MEN EDT VAP NCX100,40600
3337875764353,ANTHELIOS 50 AGE C/COLOR X50,11100
3337875761031,ANTHELIOS 50 AGE CORRECT X50,11100
3337872420153,ANTHELIOS 50 BRUME CPO X 200,10525
3337875797597,ANTHELIOS UVMINE FLUID 50+REN,9320
3337872412998,CICAPLAST BAUME B5 X 40,3040
3337872412516,EFFACLAR EAU MICELAR X400ML,12105
3337872411083,EFFACLAR GEL X200ML,9860
3337875729864,HYALU B5 AMPOLLAS X7 X1.8,11575
3337875583589,HYALU B5 SOIN X40ML,17575
3337875731638,HYDRAPHASE HA LIGERA X50ML,15915
7795368547375,DIARIS OMEGA CAPS X 30,2903.8
7798051851698,VALCATIL MAX CAPS X 60,9593
7798051851933,VALCATIL MAX CAPS X 90,13104
7795323000273,NUTRILON HA LATA X400G,11318
8718117601066,NUTRILON PEPTI SYNEO LATA X400G,33393
8712400801072,NUTRILON PREMATU 1 LATA X400G,13855
7795323774747,VITAL 2 NF BRIK X 24 X 200 ML,8676
7506205806506,ENFABEBE A.R. LATA X400G,16110.84
3600524057336,RETINOL SERUM OAP RVTL30HZ BR,8680
38000184963,PRINGLES ORIG X 124 G,2310
8470001699664,FOTO ISDIN 50 DRYTOUCH GCX50,8350
8470001631718,FOTO ISDIN 50 DRYTOU COLORX50,8350
8429420113374,ISDINCEUTICS K-OX EYES,16250
7794640172809,CENTRUM BASE COMP X 60,4675.79
7794640172823,CENTRUM HOMBRE COMP X 60,5611.85
7794640170386,PARODONTAX BLANQ CR DENT X116,1405
7896015591106,SENSODYNE DENT LIMP PROF X 90,855
7502236153343,DEKKIN AURIC TWS BLUETOOTH,10990
7791984000492,102 PLUS COMP X 60,5026.9
7790813130133,LEVADURA.VIRGEN CERV PVO X500,2329.85
7791984000713,MEGACISTIN MAX LOC X 120,3014.98
7791984001079,METABOLIC MAX CAPS X 60,6533.48
74312060113,NATURES BOUNTY L-LYSINE X 60,4007.34
74312017513,NATURES BOUNTY VITAMI E X120,7129.63
7798140250289,MULTI-O PLEASURE GEL X 20G,2992.55
7798173570101,ECOHAIR REP CAPI ACOND X200ML,4437.14
22548024324,TOMMY MEN COL VAP X100,43895
7798095410233,AVENE AGUA TERMAL X150,5518
7798095410240,AVENE AGUA TERMAL X300,9367
7799075000017,AVENE SOL 50 FLUIDO MATE X 50,6866
4005900436962,EUCERIN DERMOPUR FLUI MATX 50,9447.68
4005800180606,EUCERIN DERMOPUR GEL LIMPX400,11470.8
4005900324023,EUCERIN ELAST FILLER NOCHX 50,17219.51
4005900656063,EUCERIN HYAL FILER H/BOOSX 30,9694.52
4005800024023,EUCERIN HYAL FILER NOCHE X 50,17219.51
4005800037092,EUCERIN SH REV ANTICAIDA X250,5435.32
4005900264282,EUCERIN SOL 50 CC CREAM X 50,8772.5
4005900839626,EUCERIN SOL 50 GEL TS CLAX 50,7731.9
4005800241901,EUCERIN SOL 50 PIGMENT CTX 50,8772.5
7792981004506,ENA AMINO 4500 TABS X 150,7000
7792981005015,ENA BETA ATTACK TAB X 60,2400
7792981002199,ENA CARBO ENERGY X 540G,2800
7792981067006,ENA COLAGENO SPORT X 407G,8400
7792981003417,ENA HYDROXY MAX TABS X 120,3300
7792981000102,ENA PLANT PROTEIN X375G,5500
7796285277093,INFILTREX COMP X 30,4222.01
7891962058405,BAUDUCCO OBLEA FRESA X 78G,80
7790375004385,BAGOVIT A CUID COT.SEDA X350G,3983.03
7790375000042,BAGOVIT A EM AUTOBRONC X200G,4313.55
7790375001308,BAGOVIT A EMULS P/EXTRAX350G,4201.46
7790375268824,BAGOVIT A MANOS Y UÑAS CR X50,1859.02
7790375268886,BAGOVIT SOLAR F75 EMUL X180,4612.36
7793742005428,AVENO INF SH X 250 ML,4625.64
7793742007682,DERMAGLOS C REGENE INT CRX100,3875.04
7793742007613,DERMAGLOS F CONT OJOS CR X 15,4085.64
7793742007897,DERMAGLOS F HID F12 PN CRX 50,2224.8
7793742007972,DERMAGLOS PIEL DEL DIABETX300,6632.28
7793742003592,DERMAGLOS SOLAR F30 SPRAYX170,5477.76
7793742003806,DERMAGLOS SOLAR F40 EF/SEX180,4517.64
7793742004520,DERMAGLOS SOLAR F50 CLAROX 50,4784.4
7793742004568,DERMAGLOS SOLAR F50 MEDIOX 50,4784.4
7793742003790,DERMAGLOS SOLAR F50 NI EMX180,4542.48
7793742003967,DERMAGLOS SOLAR POST GEL X300,4984.2
7793742002984,HIPOGLOS CUID DIARIO CR X30G,1905.12
7793742002991,HIPOGLOS CUID DIARIO CR X90G,4218.48
8710428014085,ENSURE ADVANCE FRUT PVO X400G,6352.81
8427030007397,ENSURE ADVANCE VAIN PVO X400G,6352.81
8710428018014,ENSURE PLUS CHOCOLATE X220ML,1502
8710428018038,ENSURE PLUS VAINILLA X220ML,1502
6922244700697,ENSURE VAINI PVO X 400G,5781.35
8710428022141,GLUCERNA PVO VAIN LATA X400G,6741.25
7795371459245,FALIC GEL POM X50 G,1258.2
7798028884247,SILFAB ALMTE CINTURA DESMONTA,13880
7798028883400,SILFAB BALANZA ELECT BE212,10180
7798028883479,SILFAB BY503 SECADOR VIAJE,7590
7798028883899,SILFAB COLCHON ANTIESCARAS,19580
7798028883127,SILFAB FRAZADA TERMICA GRIS,35600
7798028883769,SILFAB NEBU ULTRA NUOVO N60,26950
7798028884131,SILFAB NEBU ULTRA NUOVO P N61,25660
7798028883530,SILFAB PLANCHA PELO ANGOSTA,12010
7798028884247,SILFAB ALMTE CINTURA DESMONTA,15960
7798028883400,SILFAB BALANZA ELECT BE212,11710
7798028883479,SILFAB BY503 SECADOR VIAJE,8730
7798028883899,SILFAB COLCHON ANTIESCARAS,22520
7798028883127,SILFAB FRAZADA TERMICA GRIS,40940
7798028883769,SILFAB NEBU ULTRA NUOVO N60,30990
7798028884131,SILFAB NEBU ULTRA NUOVO P N61,29500
7798028883530,SILFAB PLANCHA PELO ANGOSTA,13820
8411061636275,BLUE SEDUCTION EDTV X 50,8490
8411061982617,BLUE SEDUCTION WOM EDTV X 50,7405
8411061982105,BLUE SEDUCTION WOM EDTV X 80,10300
8411061727935,GOLDEN SECRET EDT VAP X 50,8490
8411061860441,HER SECRET TEMPT EDT X 50,7960
8411061829530,KING OF SEDUCT ABS X200,17280
8411061819623,KING OF SEDUCT ABS X 50,8490
8411061784273,KING OF SEDUCT EDTV X100,11715
8411061971918,POWER OF SED FORCE EDT X100,11715
8411061695951,SEDUCTION IN BLACK EDT X100,10475
8411061971925,THE ICON MASCULINO EDT X 50,9750
8411061701034,THE SECRET EDTV X 100,11715
8411061701034,THE SECRET FD21 (EDT100+DEO),11715
8411061865408,212 EDT VAP X100,54400
8411061972656,212 HEROES EDT X 90,45175
8411061994696,212 HEROES FOR HER EDP X 80,55670
8411061853207,212 MEN NYC X200,59250
8411061865439,212 SEXY EDP VAP X100,54400
8411061870518,212 VIP BLACK EDP NS X200,60700
8411061711804,212 VIP EDP VAP X 50,46750
8411061711767,212 VIP EDP VAP X 80,57395
8411061781197,212 VIP ROSE EDP VAP X 30,36000
8411061777183,212 VIP ROSE EDP VAP X 50,46750
8411061777176,212 VIP ROSE EDP VAP X 80,57395
8411061923245,CH BAD BOY EDT X 100,49535
8411061607176,CH EDT VAP X 30,28045
8411061607169,CH EDT VAP X 50,35895
8411061041673,CH GOOD GIRL EDP X 30,38430
8411061026250,CH GOOD GIRL EDP X 50,49180
3349668588732,INVICTUS VICTORY EDP X100,55670
3349668508587,LADY MILLION EDP VAP X 80,58205
3137370321545,NINA LUNA EDTV X 30ML,18400
3349668566372,ONE MILLION EDT VAP X200,69250
3349668601073,ONE MILLION ELIX 22 INTE X 50,49285
3349668562671,ONE MILLION LUCKY EDT X100ML,48420
3349668515653,PACO RABANNE INVICTUS X 50,41070
3349668568093,PACO RABANNE OLYMPEA EDPX 50,47760
3349668528677,PACO RABANNE OLYMPEA EDPX 80,58205
3349668582297,PACO RABANNE PHANTOM EDT X100,50350
3349668596348,PACO RABANNE PHANTOM EDT X150,64550
3349668545667,XS PURE EDP VAP FEM X 50,39140
3349668576173,XS PURE EDT VAP X100,41170
3433422404397,AGUA TERMAL LRP. AERO X 150ML,6775
3337875588560,ANTHELIOS 50 CREMA ULTRA X50,7720
3337875706681,ANTHELIOS 50 MINERAL ONE 03,7105
3337872412752,ANTHELIOS 50 PED LECHE X100,7735
3337875696838,ANTHELIOS 50 SPRAY NEW X200ML,11860
30089372,ANTHELIOS 50 STICK LABIOS,4015
3337875797641,ANTHELIOS UVMINE FLUID50+AP T,9320
3337875517300,CICAPLAST BAUME B5 FPS 50,6440
30106659,CICAPLAST LABIOS POMO X7.5ML,6920
3337872414145,CICAPLAST MANOS POMO X 50,9010
3337875518451,EFFACLAR DUO UNIFIANT LIGHT,12675
3337875708265,EFFACLAR GEL MICROEXFOLX200ML,10260
3337872412646,HYDRAPHASE INT OJOS X15ML,16215
3337872413735,LAROCHE PURE VITAMIN C OJ X15,21085
3337872418778,LIPIKAR GEL LAVANT X 200ML,5925
3337872418785,LIPIKAR GEL LAVANT X 400ML,8845
3337875685818,LIPIKAR LAIT UREA 5% X 400,19660
3337875552097,LIPIKAR LAIT X200 ML,8510
3337875528092,LRP AGUA MICELAR P/REACT X200,9330
3337875528108,LRP AGUA MICELAR P/REACT X400,13845
3337872414039,REDERMIC (R) OJOS X 15,22490
3337875694469,RETINOL B3 SERUM X 30ML,24210
3337872410338,TOILETTE PHYSIOL SOL MIC X200,9550
3337875757614,TOLERIANE DERMALLER CR X40ML,14680
3337875757669,TOLERIANE DERMALLER FLU X40ML,14680
3433422406599,TOLERIANE DERMO LIMP X200ML,13555
7795368002935,AUCIC CAPS X 30,2100
7795312108928,PHARMATON 50+OMEGA3 CAPS X 30,4630.23
7795323001027,NUTRILON A.R. LATA X800G,26824
7795323001973,NUTRILON PREMATU 2 LATA X400G,12468
7795323002413,NUTRILON PROFU 1 LATA X400GR,5088
7795323773818,NUTRILON PROFU 2 POCH X1.2KG,9744
7795323002505,NUTRILON PROFU 3 BRIK 1000ML,1842
7795323002512,NUTRILON PROFU 4 BRIK 1000ML,1751
7795323003359,NUTRILON S/LACTOSA LCP X800G,35507
8712400771313,NUTRILON SOYA LATA X400G,15711
7795323774730,VITAL 1 NF BRIK X 24 X 200ML,8988
7795323774754,VITAL 3 NF BRIK X 24 X 200ML,8244
7795323002796,VITAL 3 NF PACK X 6U X1000ML,8349
7891010253844,NEUTROGENA CR FAC HIDR M 3EN1,1363.66
7798176000759,SANCOR BEBE 1 ADV.LATA X 800G,7279.78
7798176009677,SANCOR BEBE 1 NUT.COMP X500ML,900.53
7798176009691,SANCOR BEBE 2 NUT.COMP X500ML,854.41
7798176009639,SANCOR BEBE 3 NUT.COMPX1000ML,1507.82
3348900417878,JADORE EDP VAP X100,60945
3348901362832,{MISS DIOR EDP NV VAP X100,96160
3348901368247,SAUVAGE EDP X100,60030
3348901428545,SAUVAGE EDP X200,89100
3348901250146,SAUVAGE EDT X100 REFILLABLE,41500
3348901321129,SAUVAGE EDT X200,72900
7791014001369,TULIPAN PRE X CLASSIC 16X 3,7525
7793306993512,KELLOGG'S FROOTLOOPS X175G,450
7896004006369,KELLOGG'S ZUCARITAS X 300G,690
38000185014,PRINGLES QUESO X 124G,2310
38000845260,PRINGLES QUESO X67G,1160
3430750528658,JEANNE BALCON MEDIT EDPX100,11500
8429420201361,FOTO ISDIN 30 FUSION WAT URB,10300
8429420142312,FOTO ISDIN 30 GEL CREMA X250,9700
8429420160613,FOTO ISDIN 50 AGE REP SPF COL,11900
8429420226272,FOTO ISDIN 50 FUS WAT BRONX50,9450
8429420226265,FOTO ISDIN 50 FUS WAT LIGHX50,9450
8429420192263,FOTO ISDIN 50 HYDROLOT +200ML,10800
8429420196377,FOTO ISDIN 50 PED FUSION WAT,9350
8429420188020,FOTO ISDIN 50 PED WET SPRX250,14800
8429420187917,FOTO ISDIN 50 WET SPRAY X250,14250
8470003233941,FOTO ISDIN AFT SUN INMED X200,9200
8470003854849,GERMISDIN ORIGINAL X500ML,5450
8429420175372,GLICOISDIN 15% CR X 50 ML,17950
8429420175327,GLICOISDIN 25% GEL X 50 ML,16750
8429420175341,GLICOISDIN 8% CR X 50 ML,17950
8470001812353,ISDINCEUTICS A.G.E REV DAYX50,33550
8429420172401,ISDINCEUTICS A.G.E REV NIGX50,33550
8470001864826,ISDINCEUTICS DAY&NIGHT 10+10,24450
8470001769145,ISDINCEUTICS FLAVO-C SERUM 30,24250
8429420164390,ISDINCEUTICS HYALUR AMP X 30,23450
8429420200678,ISDINCEUTICS HYALUR CONCEX 30,17150
8429420136472,ISDINCEUTICS NIGHT PEEL 10AM,12750
8429420203082,ISDINCEUTICS VITAL EYES X 15,25900
8429420128644,ISDIN SOL MICELAR X400,13200
7794640172793,CENTRUM BASE COMP X 30,2751.31
7794640172830,CENTRUM MUJER COMP X 30,3302.57
7794640172878,CENTRUM SILVER HOMBRE CM X60,6013.02
7794640172885,CENTRUM SILVER MUJER CM X60,6013.02
7794640173073,HINDS CR ROSA PLUS X250,955.67
7794640171772,PARODONTAX CEP,875
5054563054975,PARODONTAX DENT COMP PRO X126,1405
7896015527457,PARODONTAX DENT FLUOR X 90G,1280
7896009419294,SENSODYNE DENT MULTIPROT X 90,830
7896009419324,SENSODYNE DENT ORIGINAL X 90,790
7896015520526,SENSODYNE DENT PROESMALT X 90,1120
7794640662553,SENSODYNE DENT PROESM BLAX113,1230
7794640172472,SENSODYNE DENT R/AL BLANQX100,1385
7794640171550,SENSODYNE DENT RAP ALIVI X100,1185
7794640170133,SENSODYNE DENT REP/PROTE X100,1335
7794640170720,SENSODYNE DENT R/PR BLANQX100,1435
7791984000508,102 PLUS COMP X 90,7002.03
7791984000515,102 PLUS EFER SOB X 15,2072.2
7790813130140,LEVADURA.VIRGEN QUESO PVOX200,1309.7
7791984999949,NUTRIFARMA COLAGENO COMP X 30,2981.92
7791984000065,SNELLA VAG GEL X 60 G,1794.2
7798173570033,ECOHAIR SH ANTICASPA X200ML,2855.36
7798173570033,ECOHAIR SH ANTICASPA X200ML,2855.36
3499320004497,CETAPHIL DERMOC ESPUMAX 236ML,8790
3499320007986,CETAPHIL HIDRAT CR DIAX 88ML,9890
3423473020509,DOLCE &GABB L.B PH EDTX 75,38390
22548040119,TOMMY GIRL COLOGNE VAP X 50,33870
22548055373,TOMMY MEN COL VAP X 30,23535
7794428011870,SOLENIL 100 PLUS CR X 150,4513.24
3614272629387,IDOLE EDP X 75ML,58815
3605533286555,LA VIE EST BELLE EDP X100,62000
3605532612690,LA VIE EST BELLE EDP X 30,38435
3605532612768,LA VIE EST BELLE EDP X 50,49585
7798095410226,AVENE AGUA TERMAL X 50,4062
7799075001120,AVENE A-OXITIVE CR DIA X 30,15317
7798095417942,AVENE CLEANANCE LOC MICELX400,9447
7799075000369,AVENE DERMABSOLU C/OJOS X 15,15456
7799075000086,AVENE HYDRANCE INTE SERUM X30,12958
7798095415801,AVENE LOC MICELAR X200,7456
7798095418970,AVENE SOL 50 LECHE NIñOS X250,8124
7798095415337,AVENE SOL 50 SPRAY NIÑOS X200,9024
7798095415238,AVENE SOL 50 SPRAY X 200,8833
7798095415764,AVENE SOL POST REPARADOR X400,9011
7798122341417,VIASEK ESPUMA PH 3.5 AERX75ML,1650
7798122341646,VIASEK GEL VAG FCO X 100 ML,4340
7798122341578,VIASEK REPAIR GEL X 30ML,4240
4005900559500,EUCERIN ANT/PIG CR FAC 30X50,17219.51
4005800131189,EUCERIN AQUAPORIN PIEL NM X50,10754.48
4005900791047,EUCERIN BALSAMO CONTROL ATOP,12195.59
4005800109249,EUCERIN CR FAC A/ENRO DIAX 50,13082.52
4005900436979,EUCERIN DERMOPUR CR FAC NX 40,10588.71
4005900436986,EUCERIN DERMOPUR GEL LIMPX200,7817.81
